episode,total_reward,steps
1,189.8,52
2,193.0,36
3,181.60000000000002,93
4,195.0,26
5,192.79999999999998,37
6,186.8,67
7,198.2,10
8,194.2,30
9,-19.79999999999996,99
10,197.0,16
11,196.2,20
12,199.0,6
13,187.20000000000002,65
14,196.8,17
15,197.0,16
16,199.2,5
17,199.2,5
18,198.0,11
19,198.0,11
20,192.79999999999998,37
21,191.2,45
22,199.0,6
23,192.2,40
24,198.8,7
25,188.60000000000002,58
26,192.79999999999998,37
27,187.4,64
28,196.6,18
29,199.2,5
30,194.4,29
31,199.2,5
32,199.0,6
33,195.8,22
34,-19.79999999999996,99
35,199.2,5
36,-19.79999999999996,99
37,199.2,5
38,194.8,27
39,195.8,22
40,195.2,25
41,199.2,5
42,199.2,5
43,198.8,7
44,-19.79999999999996,99
45,199.4,4
46,189.20000000000002,55
47,193.2,35
48,194.8,27
49,181.20000000000005,95
50,199.4,4
51,198.2,10
52,195.8,22
53,185.20000000000002,75
54,197.8,12
55,199.2,5
56,199.2,5
57,199.4,4
58,189.4,54
59,199.2,5
60,198.6,8
61,194.6,28
62,199.2,5
63,199.4,4
64,196.8,17
65,196.2,20
66,199.2,5
67,197.4,14
68,199.4,4
69,186.60000000000002,68
70,194.6,28
71,193.4,34
72,199.4,4
73,197.4,14
74,199.2,5
75,187.4,64
76,196.0,21
77,196.0,21
78,196.6,18
79,194.6,28
80,199.0,6
81,196.2,20
82,199.4,4
83,197.4,14
84,198.4,9
85,187.20000000000002,65
86,191.2,45
87,192.0,41
88,194.2,30
89,196.8,17
90,199.4,4
91,199.2,5
92,196.8,17
93,195.8,22
94,193.2,35
95,199.0,6
96,194.4,29
97,199.2,5
98,199.2,5
99,199.4,4
100,199.0,6
101,194.0,31
102,198.6,8
103,199.0,6
104,193.8,32
105,196.6,18
106,197.4,14
107,198.2,10
108,197.2,15
109,195.8,22
110,198.0,11
111,199.2,5
112,197.2,15
113,199.4,4
114,196.8,17
115,198.2,10
116,198.8,7
117,198.8,7
118,193.6,33
119,195.0,26
120,199.2,5
121,199.2,5
122,195.4,24
123,195.6,23
124,196.0,21
125,188.4,59
126,198.6,8
127,190.6,48
128,195.2,25
129,195.6,23
130,195.8,22
131,196.4,19
132,194.4,29
133,199.2,5
134,199.2,5
135,197.6,13
136,197.0,16
137,193.4,34
138,199.2,5
139,190.4,49
140,197.6,13
141,199.0,6
142,197.0,16
143,192.4,39
144,198.8,7
145,197.4,14
146,199.4,4
147,199.2,5
148,188.8,57
149,199.2,5
150,197.8,12
151,196.6,18
152,194.6,28
153,198.8,7
154,199.2,5
155,198.4,9
156,198.8,7
157,199.2,5
158,198.8,7
159,198.8,7
160,198.8,7
161,199.0,6
162,195.8,22
163,199.2,5
164,199.2,5
165,195.4,24
166,197.2,15
167,199.2,5
168,199.0,6
169,197.8,12
170,198.2,10
171,198.4,9
172,199.2,5
173,197.8,12
174,195.6,23
175,199.2,5
176,198.8,7
177,199.0,6
178,196.8,17
179,199.2,5
180,198.8,7
181,199.2,5
182,198.0,11
183,196.6,18
184,199.0,6
185,199.2,5
186,199.4,4
187,198.8,7
188,199.2,5
189,192.6,38
190,197.6,13
191,199.2,5
192,199.2,5
193,199.2,5
194,194.8,27
195,198.4,9
196,192.79999999999998,37
197,199.0,6
198,198.6,8
199,198.8,7
200,199.2,5
201,199.2,5
202,199.2,5
203,195.8,22
204,199.2,5
205,199.2,5
206,199.2,5
207,197.4,14
208,196.2,20
209,199.2,5
210,199.2,5
211,199.2,5
212,198.2,10
213,199.2,5
214,194.6,28
215,199.2,5
216,198.6,8
217,199.2,5
218,199.2,5
219,199.2,5
220,199.2,5
221,199.2,5
222,198.8,7
223,199.4,4
224,199.4,4
225,199.2,5
226,199.2,5
227,194.0,31
228,197.4,14
229,197.4,14
230,199.2,5
231,199.2,5
232,199.2,5
233,199.2,5
234,199.2,5
235,198.2,10
236,199.2,5
237,199.2,5
238,199.2,5
239,199.2,5
240,199.2,5
241,197.2,15
242,191.4,44
243,199.2,5
244,199.2,5
245,199.2,5
246,199.2,5
247,199.2,5
248,199.2,5
249,199.2,5
250,197.4,14
251,199.2,5
252,198.8,7
253,199.2,5
254,199.2,5
255,199.2,5
256,196.4,19
257,195.0,26
258,197.4,14
259,199.2,5
260,199.2,5
261,199.2,5
262,199.2,5
263,199.2,5
264,199.2,5
265,197.6,13
266,199.2,5
267,199.2,5
268,199.2,5
269,199.2,5
270,199.2,5
271,199.2,5
272,183.20000000000002,85
273,199.2,5
274,199.2,5
275,198.8,7
276,199.2,5
277,197.4,14
278,199.2,5
279,199.2,5
280,199.2,5
281,199.2,5
282,199.2,5
283,199.2,5
284,199.2,5
285,199.2,5
286,199.2,5
287,199.2,5
288,199.2,5
289,199.2,5
290,199.2,5
291,199.2,5
292,199.2,5
293,199.2,5
294,199.2,5
295,199.2,5
296,199.2,5
297,199.2,5
298,198.8,7
299,199.2,5
300,199.2,5
